"Day.Index","Sessions","year"
2016-10-06,199,2016
2016-10-07,227,2016
2016-10-08,240,2016
2016-10-09,190,2016
2016-10-10,174,2016
2016-10-11,194,2016
2016-10-12,190,2016
2016-10-13,173,2016
2016-10-14,205,2016
2016-10-15,206,2016
2016-10-16,181,2016
2016-10-17,195,2016
2016-10-18,191,2016
2016-10-19,181,2016
2016-10-20,192,2016
2016-10-21,201,2016
2016-10-22,203,2016
2016-10-23,140,2016
2016-10-24,171,2016
2016-10-25,148,2016
2016-10-26,199,2016
2016-10-27,170,2016
2016-10-28,230,2016
2016-10-29,178,2016
2016-10-30,218,2016
2016-10-31,203,2016
2016-11-01,164,2016
2016-11-02,211,2016
2016-11-03,169,2016
2016-11-04,211,2016
2016-11-05,236,2016
2016-11-06,495,2016
2016-11-07,654,2016
2016-11-08,359,2016
2016-11-09,275,2016
2016-11-10,268,2016
2016-11-11,215,2016
2016-11-12,224,2016
2016-11-13,196,2016
2016-11-14,241,2016
2016-11-15,214,2016
2016-11-16,190,2016
2016-11-17,234,2016
2016-11-18,230,2016
2016-11-19,195,2016
2016-11-20,190,2016
2016-11-21,230,2016
2016-11-22,196,2016
2016-11-23,270,2016
2016-11-24,239,2016
2016-11-25,253,2016
2016-11-26,180,2016
2016-11-27,207,2016
2016-11-28,213,2016
2016-11-29,247,2016
2016-11-30,242,2016
2016-12-01,248,2016
2016-12-02,296,2016
2016-12-03,172,2016
2016-12-04,232,2016
2016-12-05,235,2016
2016-12-06,203,2016
2016-12-07,231,2016
2016-12-08,226,2016
2016-12-09,223,2016
2016-12-10,170,2016
2016-12-11,169,2016
2016-12-12,246,2016
2016-12-13,242,2016
2016-12-14,248,2016
2016-12-15,233,2016
2016-12-16,235,2016
2016-12-17,199,2016
2016-12-18,198,2016
2016-12-19,261,2016
2016-12-20,234,2016
2016-12-21,236,2016
2016-12-22,258,2016
2016-12-23,272,2016
2016-12-24,206,2016
2016-12-25,202,2016
2016-12-26,234,2016
2016-12-27,228,2016
2016-12-28,240,2016
2016-12-29,231,2016
2016-12-30,294,2016
2016-12-31,203,2016
